Theoretical pI,Instability index,Gravy,Target
8.878150749,39.0543379,-0.181278539,Stable
7.547047234,39.20025126,-0.191959799,Stable
8.956415367,35.97878481,-0.381772152,Stable
8.909869194,36.01052448,-0.217132867,Stable
8.913737297,31.70467857,-0.225357143,Stable
8.42100544,43.32402214,-0.044649446,Less Stable
8.988907433,36.43678445,-0.18975265,Stable
8.952740669,35.71334917,-0.272446556,Stable
8.160230827,33.4755,-0.353809524,Stable
8.909869194,36.01052448,-0.217132867,Stable
9.280046654,29.37386364,-0.24469697,Stable
8.069459343,39.92883777,-0.380387409,Stable
5.838410378,46.57887097,-0.777598566,Unstable
7.13843174,36.19847938,-0.332474227,Stable
8.890657616,37.04421717,-0.446717172,Stable
5.547792625,46.41876289,-0.471134021,Unstable
8.309733009,44.92081218,-0.255837563,Less Stable
7.749053001,45.47235294,0.013529412,Stable
4.973491478,61.47428922,-0.899754902,Unstable
4.689751244,46.67980132,-0.51986755,Unstable
9.495757866,57.87564103,0.008974359,Stable
8.456011772,47.28840206,-0.329639175,Less Stable
9.495757866,57.87564103,0.008974359,Stable
5.133606911,56.18878613,-0.312427746,Unstable
4.981448936,54.98508021,-0.406149733,Unstable
5.375797844,44.83586498,-0.437974684,Unstable
5.312706566,44.95142857,-0.407692308,Unstable
6.548727226,75.97944444,-0.569607843,Unstable
9.202877998,34.5721519,-0.424683544,Stable
8.959703255,56.75142857,-0.16,Less Stable
8.309475136,70.2478125,-0.6890625,Less Stable
5.246148109,48.11838565,-0.367488789,Unstable
5.419507027,48.36314607,-0.377752809,Unstable
5.385801506,43.1352,-0.322933333,Unstable
5.007594872,37.86601562,-0.29609375,Less Stable
5.127411461,44.30248756,-0.337562189,Unstable
8.376393318,78.37067797,-0.550282486,Less Stable
8.710726357,44.0258216,-0.544600939,Less Stable
6.592493248,59.02337539,-0.346056782,Unstable
8.456011772,47.28840206,-0.329639175,Less Stable
5.393304253,38.71707317,-0.382926829,Less Stable
8.554068184,38.87894737,-0.100809717,Stable
8.284912682,56.8753617,-0.283404255,Less Stable
9.264509773,48.52792363,-0.409546539,Less Stable
8.062303352,39.62457207,-0.452477477,Stable
8.55580883,34.86388889,-0.439583333,Stable
9.079614449,33.70689655,-0.487068966,Stable
8.771068764,57.81932584,-0.158202247,Less Stable
8.691063499,47.1452514,-0.288268156,Less Stable
8.801175499,43.12702703,-0.255135135,Less Stable
8.461556053,38.71758242,0.151098901,Stable
8.944811058,42.61614407,-0.229661017,Less Stable
7.945357704,63.04977901,-0.023756906,Less Stable
6.230713081,44.20909091,-0.098181818,Unstable
8.903809166,33.38039301,-0.24279476,Stable
5.88660984,53.44450402,-0.436461126,Unstable
8.642003059,37.60694737,-0.012210526,Stable
5.786800575,54.7076,-0.4718,Unstable
5.783219719,36.77665399,-0.063688213,Less Stable
4.681680107,53.04647446,-0.603953871,Unstable
9.002123451,32.58986395,-0.066666667,Stable
8.622791481,34.95566138,-0.020634921,Stable
5.33834095,52.44878261,-0.045217391,Unstable
5.715353966,51.32867188,-0.473958333,Unstable
8.114458275,63.47798165,-0.629816514,Less Stable
7.084832573,52.81054226,-0.466985646,Less Stable
8.644452858,43.72917143,-0.208,Less Stable
6.131642723,57.50936652,-0.587933635,Unstable
4.577721596,63.02309353,-0.312589928,Unstable
8.504685402,43.20602857,-0.244571429,Less Stable
4.598183632,51.88346863,-0.208856089,Unstable
8.644452858,43.72917143,-0.208,Less Stable
4.410842323,52.85486842,-0.684210526,Unstable
6.396341896,49.89971609,-0.441955836,Unstable
8.444987679,48.30071942,-0.128057554,Less Stable
8.524219322,51.71286765,-0.241544118,Less Stable
6.453635597,51.97397059,-0.265073529,Unstable
5.024646568,41.20647239,-0.403067485,Unstable
6.18353672,57.79986425,-0.594117647,Unstable
6.423056221,55.13911147,-0.468820679,Unstable
8.653285027,61.23213953,-0.426046512,Less Stable
4.658148766,52.2439212,-0.273545966,Unstable
8.51751461,41.87963265,-0.304489796,Less Stable
6.911701012,55.41524,-0.1988,Unstable
6.141077995,59.48538462,-0.580995475,Unstable
5.024930763,63.63553435,-0.345801527,Unstable
4.612620735,53.13784644,-0.327902622,Unstable
6.376164055,43.72327586,-0.262643678,Unstable
5.819255638,41.20836431,-0.314312268,Unstable
6.346209908,53.32737265,-0.46541555,Unstable
5.523408699,54.58705628,-0.348051948,Unstable
5.01890583,41.85779503,-0.409627329,Unstable
6.315971565,49.47922619,-0.530952381,Unstable
5.94060688,50.34588933,-0.263636364,Unstable
8.782866478,46.02962963,0.228240741,Stable
7.362206841,39.39793388,-0.484917355,Stable
7.628440666,43.74831461,-0.480898876,Less Stable
5.112121773,55.81881226,-0.411494253,Unstable
6.570780754,54.17904321,-0.730864198,Unstable
4.851230812,44.19051491,-0.274796748,Unstable
8.427710152,40.57546012,-0.622699387,Less Stable
5.516872215,45.77425466,-0.474534161,Unstable
6.474097633,71.42125402,-0.552733119,Unstable
7.626678658,39.75970425,-0.508872458,Stable
5.940379524,60.80321229,-0.577793296,Unstable
8.582692146,36.22822086,-0.727607362,Stable
8.736771584,31.99366197,-0.58028169,Stable
7.437291145,32.88203593,-0.693413174,Stable
6.433116722,53.75541367,-0.441546763,Unstable
8.245844841,37.96223022,-0.10647482,Stable
7.595871925,64.06904834,-0.632628399,Less Stable
6.080999184,56.07211538,-0.406971154,Unstable
5.658685493,49.03348624,-0.08440367,Unstable
6.453635597,51.97397059,-0.265073529,Unstable
5.024646568,41.20647239,-0.403067485,Unstable
6.18353672,57.79986425,-0.594117647,Unstable
8.653285027,61.23213953,-0.426046512,Less Stable
